Trade Date,Trade Time,Order Time,Security Name,ISIN,Exchange,Order Source,Transaction Type,Quantity,Market Rate,Total,GST,Brokerage,Misc.,Total Charges,STT/CTT
02/05/2025,14:03:15,14:03:15,Timken India Ltd,INE325A01013   ,NSE,Kotak Securities,Buy,70,2649.9886,185499.2,2.48,10,8.72,21.2,23.23
02/05/2025,15:20:18,15:20:18,Timken India Ltd,INE325A01013   ,NSE,Kotak Securities,Buy,70,2748.6643,192406.5,11.46,49,8.96,69.42,24.02
02/05/2025,12:11:20,12:11:20,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,6343.2,190296,2.92,10,8.89,21.81,23.8
02/05/2025,14:11:54,14:11:54,Timken India Ltd,INE325A01013   ,NSE,Kotak Securities,Sell,70,2690,188300,2.26,10,8.75,21.01,23.48
02/05/2025,14:47:50,14:47:46,Timken India Ltd,INE325A01013   ,NSE,Kotak Securities,Sell,70,2730,191100,2.34,10,8.91,21.25,23.87
30/04/2025,09:15:21,09:15:21,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,30,6604.9,198147,2.3,10,9.42,21.72,25
30/04/2025,15:20:12,15:20:12,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,6346,190380,10.54,49,8.9,68.44,24
29/04/2025,09:27:16,09:27:16,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,30,6727.9833,201839.5,2.2,10,9.45,21.65,25.23
29/04/2025,12:49:11,12:49:11,Cochin Shipyard Ltd,INE704P01025   ,NSE,Kotak Securities,Buy,105,1656.6029,173943.3,1,0.01,31.45,32.46,173.94
29/04/2025,13:56:35,13:56:35,BEML Ltd,INE258A01016   ,NSE,Kotak Securities,Sell,60,3212.2467,192734.8,1.1,0.01,6.11,7.22,192.93
29/04/2025,15:20:12,15:20:12,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,6640.5,199215,10.72,49,9.32,69.04,24.9
25/04/2025,09:43:52,09:43:52,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,30,6392,191760,2.34,10,8.82,21.16,24
25/04/2025,10:11:57,10:11:57,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,30,6359.85,190795.5,2.3,10,8.76,21.06,23.87
25/04/2025,09:15:08,09:15:08,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,6518.6167,195558.5,2.44,10,9.06,21.5,24.49
25/04/2025,15:20:22,15:20:22,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,6296.5,188895,11.52,49,8.68,69.2,23.64
23/04/2025,09:15:12,09:15:12,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,30,6319.5,189585,2.2,10,17.81,30.01,23.78
23/04/2025,15:20:14,15:20:14,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,6450,193500,10.6,49,18.09,77.69,24.22
22/04/2025,09:15:54,09:15:54,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,25,6339.5,158487.5,2.14,10,14.95,27.09,19.85
22/04/2025,09:16:25,09:16:25,HDFC Asset Management Company Ltd,INE127D01025   ,NSE,Kotak Securities,Buy,30,4468.2,134046,2.06,10,12.38,24.44,16.77
22/04/2025,15:20:15,15:20:15,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,25,6228.5,155712.5,10.28,49,14.62,73.9,19.5
22/04/2025,15:20:15,15:20:15,HDFC Asset Management Company Ltd,INE127D01025   ,NSE,Kotak Securities,Sell,30,4504.2,135126,10.08,49,12.45,71.53,16.88
21/04/2025,09:16:39,09:16:39,ICICI Bank Ltd,INE090A01021   ,NSE,Kotak Securities,Buy,150,1426.8,214020,2.22,10,19.4,31.62,26.67
21/04/2025,15:20:14,15:20:14,ICICI Bank Ltd,INE090A01021   ,NSE,Kotak Securities,Sell,150,1409.6,211440,10.84,49,19.15,78.99,26.33
17/04/2025,09:25:34,09:25:32,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Buy,25,5648,141200,2.18,10,12.79,24.97,17.76
17/04/2025,09:26:47,09:26:47,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Buy,25,5619.68,140492,2.18,10,12.69,24.87,17.66
17/04/2025,09:15:05,09:15:05,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Sell,25,5655.636,141390.9,2.28,10,12.92,25.2,17.81
